YEAR,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER_NAME,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,TDOMT_COST,TINT_COST,TOTAL_COST
2024,1,19393,WN,Southwest Airlines Co.,167118056.00,2080941.00,169198997.00,463386854.00,6279371.00,469666225.00
2024,1,19687,QX,Horizon Air,0.00,0.00,0.00,0.00,0.00,0.00
2024,1,19690,HA,Hawaiian Airlines Inc.,16482881.00,6419228.00,22902109.00,44026969.00,16505084.00,60532053.00
2024,1,19790,DL,Delta Air Lines Inc.,169156039.00,104192857.00,273348896.00,463745860.00,285647537.00,749393397.00
2024,1,19805,AA,American Airlines Inc.,180585984.00,108838904.00,289424888.00,474578771.00,291527461.00,766106232.00
2024,1,19874,8C,Air Transport International,206408.00,781839.00,988247.00,602238.00,3122352.00,3724590.00
2024,1,19917,5X,United Parcel Service,40128000.00,37382000.00,77510000.00,104981000.00,98435000.00,203416000.00
2024,1,19930,AS,Alaska Airlines Inc.,45349887.00,2227687.00,47577574.00,135885937.00,6725883.00,142611820.00
2024,1,19977,UA,United Air Lines Inc.,144905779.00,157423124.00,302328903.00,380929477.00,418557258.00,799486735.00
2024,1,20007,5Y,Atlas Air Inc.,17080566.00,46460867.00,63541433.00,47532516.00,135201890.00,182734406.00
2024,1,20046,ZW,Air Wisconsin Airlines Corp,811.00,0.00,811.00,4834.00,0.00,4834.00
2024,1,20100,PO,Polar Air Cargo Airways,989248.00,4736655.00,5725903.00,2685607.00,12855999.00,15541606.00
2024,1,20107,FX,Federal Express Corporation,49703000.00,46655862.00,96358862.00,128751000.00,122508000.00,251259000.00
2024,1,20108,NC,Northern Air Cargo Inc.,634250.00,0.00,634250.00,1389602.00,0.00,1389602.00
2024,1,20151,M6,Amerijet International,1505970.00,1305714.00,2811684.00,4296098.00,3743518.00,8039616.00
2024,1,20166,GFQ,Gulf And Caribbean Cargo,112707.00,19067.00,131774.00,716397.00,121494.00,837891.00
2024,1,20169,L2,Lynden Air Cargo Airlines,278300.00,2830.00,281130.00,745475.00,7678.00,753153.00
2024,1,20177,PFQ,Asia Pacific,0.00,534455.00,534455.00,0.00,1620582.00,1620582.00
2024,1,20195,WI,Sky Lease Cargo,0.00,478862.00,478862.00,0.00,1294828.00,1294828.00
2024,1,20207,XP,TEM Enterprises dba  Avelo Airlines,2563933.00,16765.00,2580698.00,7412318.00,48468.00,7460786.00
2024,1,20304,OO,SkyWest Airlines Inc.,1971628.00,0.00,1971628.00,6273746.00,0.00,6273746.00
2024,1,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",34583.00,244443.00,279026.00,105657.00,677794.00,783451.00
2024,1,20363,9E,Endeavor Air Inc.,0.00,0.00,0.00,0.00,0.00,0.00
2024,1,20368,G4,Allegiant Air,16698394.00,112306.00,16810700.00,48131129.00,379955.00,48511084.00
2024,1,20370,KAQ,Kalitta Air LLC,3804841.00,7192783.00,10997624.00,10475954.00,20140439.00,30616393.00
2024,1,20372,KLQ,Kalitta Charters II,81805.00,0.00,81805.00,270676.00,0.00,270676.00
2024,1,20377,X9,Omni Air International LLC,351855.00,2006666.00,2358521.00,1510333.00,8011828.00,9522161.00
2024,1,20378,YV,Mesa Airlines Inc.,0.00,0.00,0.00,0.00,0.00,0.00
2024,1,20397,OH,PSA Airlines Inc.,0.00,0.00,0.00,0.00,0.00,0.00
2024,1,20398,MQ,Envoy Air,0.00,0.00,0.00,0.00,0.00,0.00
2024,1,20401,3M,Silver Airways,273742.00,208227.00,481969.00,1300298.00,161760.00,1462058.00
2024,1,20405,N8,National Air Cargo Group Inc d/ba National Airlines,774058.00,3798678.00,4572736.00,2426064.00,11295169.00,13721233.00
2024,1,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,295700.00,0.00,295700.00,891441.00,0.00,891441.00
2024,1,20409,B6,JetBlue Airways,48491252.00,20355098.00,68846350.00,137684085.00,57795360.00,195479445.00
2024,1,20416,NK,Spirit Air Lines,39164224.00,6695523.00,45859747.00,106036509.00,18128021.00,124164530.00
2024,1,20422,SY,Sun Country Airlines d/b/a MN Airlines,6855129.00,1494883.00,8350012.00,19537117.00,4260417.00,23797534.00
2024,1,20427,PT,Piedmont Airlines,0.00,0.00,0.00,0.00,0.00,0.00
2024,1,20436,F9,Frontier Airlines Inc.,25775645.00,3094864.00,28870509.00,64558908.00,8174810.00,72733718.00
2024,1,20445,C5,CommuteAir LLC dba CommuteAir,0.00,0.00,0.00,0.00,0.00,0.00
2024,1,20447,U7,USA Jet Airlines Inc.,437160.00,13265.00,450425.00,1299793.00,49429.00,1349222.00
2024,1,20452,YX,Republic Airline,34308.00,0.00,34308.00,103999.00,0.00,103999.00
2024,1,20453,ABX,ABX Air Inc,41126.00,0.00,41126.00,90412.00,0.00,90412.00
2024,1,20500,G7,GoJet Airlines LLC d/b/a United Express,0.00,0.00,0.00,0.00,0.00,0.00
2024,1,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",445333.00,37171.00,482504.00,1803712.00,170581.00,1974293.00
2024,1,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",207375.00,157935.00,365310.00,914524.00,696493.00,1611017.00
2024,1,21629,KD,Western Global,501726.00,691050.00,1192776.00,1556298.00,2132822.00,3689120.00
2024,1,21634,KH,Aloha Air Cargo,624462.00,0.00,624462.00,1598623.00,0.00,1598623.00
2024,1,21652,27Q,"Jet Aviation Flight Services, Inc.",0.00,0.00,0.00,0.00,0.00,0.00
2024,1,21754,2PQ,21 Air LLC,13393.00,0.00,13393.00,25699.00,0.00,25699.00
2024,1,21875,37Q,"Eastern Air Express, LLC (EAX)",26616.00,0.00,26616.00,112852.00,0.00,112852.00
2024,1,21974,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",0.00,0.00,0.00,0.00,0.00,0.00
2024,1,22080,MX,Breeze Aviation Group DBA  Breeze,4435054.00,0.00,4435054.00,13786600.00,0.00,13786600.00
2024,1,22085,GCA,"Global Crossing Airlines, Inc.",1006481.00,502055.00,1508536.00,2581396.00,1300074.00,3881470.00
